id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2016-159152,2016-12-10,1,Vente,50000.0,,,COMBRAY,B046,14100.0,14466,Norolles,14,,,144660000B0648,,,,,,,,,,,,,0,,,,,S,sols,,,500.0,0.238958,49.195702
2017-736536,2017-02-06,1,Vente,84800.0,52.0,,RUE JEAN LAMOUR,2800,54000.0,54395,Nancy,54,,,54395000AH0334,,,11,,17.0,,5.0,,,,,,3,2.0,Appartement,74.0,3.0,,,,,,6.172875,48.700516
2017-491826,2017-06-06,1,Vente en l'état futur d'achèvement,243700.0,1.0,,RUE DU PETIT MARAIS,0506,35510.0,35051,Cesson-Sévigné,35,,,35051000AV0157,,,145.0,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,-1.6179,48.113192
2017-1083425,2017-05-19,1,Vente,210000.0,57.0,,RUE DU JEU DE PAUME,0270,77200.0,77468,Torcy,77,,,77468000BI0018,,,32.0,48.34,,,,,,,,,1,1.0,Maison,90.0,6.0,,,,,,2.640792,48.85234
2016-1010922,2016-04-26,2,Vente,3000.0,,,DEBES DE FELINES,B128,81320.0,81192,Murat-sur-Vèbre,81,,,811920000A0851,,,,,,,,,,,,,0,,,,,S,sols,,,4440.0,2.841658,43.690746
2017-250157,2017-11-23,1,Vente,58500.0,17.0,,RUE EDWARD DURST,0052,22650.0,22209,Beaussais-sur-Mer,22,,,222090000A2220,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,89.0,-2.14297,48.586833
2017-357904,2017-06-26,1,Vente,186000.0,78.0,,AV DES CEDRES,0205,30400.0,30351,Villeneuve-lès-Avignon,30,,,30351000CY0058,,,238.0,95.73,,,,,,,,,1,1.0,Maison,95.0,5.0,,,,,,4.775243,43.97465
2016-1053342,2016-08-31,1,Vente,65000.0,26.0,,RUE GIRAUD,0790,84120.0,84089,Pertuis,84,,,84089000BX0006,,,3.0,44.95,,,,,,,,,1,2.0,Appartement,45.0,2.0,,,,,,5.499278,43.692294
2017-78961,2017-10-27,1,Vente,209800.0,,,LA ROCHE,B044,7600.0,7111,Juvinas,7,,,071110000D0268,,,,,,,,,,,,,0,,,,,P,prés,,,140.0,4.317643,44.698116
2017-777538,2017-05-18,1,Vente,7000.0,,,LES TOUREAUX DES LACHOTS,B458,58120.0,58177,Montigny-en-Morvan,58,,,581770000B0302,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,2330.0,3.885572,47.149239
